Socket API's
accept
bind
close
connect
dup
endhostent
endnetvent
endservent
fcntl
FD_SET
FD_CLR
FD_ISSET
FD_ZERO
gethostbyaddr
gethostbyname
gethostid 
gethostname
getpeername
getprotobyname
getprotobynumber
getnetbyaddr
getnetbyname
getnetent
getservbyname
getservbyport
getservent
getsockname
getsockopt
htonl
htons
ioctl
inet_addr
inet_ntoa
listen
ntohl
ntohs
poll
read
recv
recvfrom
recvmsg
select
send
sendmsg
sendto
sethostent
setservent
setnetent
setsockopt
socket
socketpair
write
