X/OPEN functions
_exit
a64l
abort
abs
access
acos
acosh
advance
alarm
asctime
asctime_r
asin
asinh
assert
atan
atan2
atanh
atexit
atof
atoi
atol
basename
bcmp
bcopy
brk
bsearch
bzero
calloc
catclose
catopen
catget
cbrt
ceil
cfgetispeed
cfgetospeed
cfsetispeed
cfsetospeed
chdir
chmod
chown
chroot
clearerr
clock
close
closedir
closelog
compile
confstr
cos
cosh
creat
crypt
ctermid
ctime
ctime_r
cuserid
daylight
difftime
dirname
div
drand48
dup
dup2
ecvt
encrypt
endgrent
endpwent
endutxent
environ
erand48
erf
erfc
errno
execl
execle
execlp
execv
execve
execvp
execvpe
exit
exp
expm1
fabs
fchmod
fclose
fcntl
fcvt
FD_SET
FD_CLR
FD_ISSET
FD_ZERO
fdatasync
feof
ferror
fflush
ffs
fgetc
fgetpos
fgets
fileno
floor
fmod
fopen
fork
fpathconf
fprintf
fputc
fputs
fread
free
freopen
frexp
fscanf
fseek
fseeko
fsetpos
fstat
fstatvfs
fsync
ftell
ftello
ftime
ftok
ftruncate
ftw
fwrite
gamma
gcvt
getc
getchar
getcontext
getcwd
getdtablesize
getegid
getenv
geteuid
getgid
getgrent
getgrgid
getgrgid_r
getgrnam
getgrnam_r
getgroups
gethostid
gethostname
getitimer
getlogin
getlogin_r
getopt
getpagesize
getpass
getpgid
getpgrp
getpid
getppid
getpriority
getprotobyname
getprotobynumber
getpwent
getpwnam
getpwnam_r
getpwuid
getpwuid_r
getrusage
gets
getsid
getsubopt
gettimeofday
getuid
getutxent
getw
getwd
glob
globfree
gmtime
gmtime_r
grantpt
hcreate
hdestroy
hsearch
hypot
iconv
iconv_close
iconv_open
ilogb
index
initstate
ioctl
isalnum
isalpha
isascii
isatty
iscntrl
isdigit
isgraph
islower
isnan
isprint
ispunct
isspace
isupper
iswalnum
iswalpha
iswascii
iswcntrl
iswctype
iswdigit
iswgraph
iswlower
iswprint
iswpunct
iswspace
iswupper
iswxdigit
isxdigit
j0
j1
jn
jrand48
kill
killpg
l64a
labs
lchown
lcong48
ldexp
ldiv
lfind
lgamma
link
loc1
localeconv
localtime
localtime_r
lockf
locs
log
log10
log1p
logb
_longjmp
longjmp
lrand48
lsearch
lseek
lstat
makecontext
malloc
mblen
mbstowcs
mbtowc
memchr
memccpy
memcmp
memcpy
memmove
memset
mkdir
mkfifo
mknod
mkstemp
mktemp
mktime
mmap
modf
mprotect
mrand48
msgctl
msgget
msgrcv
msgsnd
msync
munmap
nanosleep
nextafter
nftw
nice
nrand48
ntohl
ntohs
open
opendir
openlog
optarg
opterr
optint
optopt
pathconf
pause
perror
pipe
poll
popen
pow
printf
ptsname
pthread_atfork
putc
putchar
putenv
puts
pututxline
putw
qsort
raise
rand
rand_r
random
read
readdir
readdir_r
readlink
readv
realloc
regcomp
regerror
regexec
regfree
regex
regexp
remainder
remove
rename
rewind
rewinddir
rindex
rint
rmdir
sbrk
scalb
scanf
seed48
seekdir
select
semctl
semget
semop
send
sendmsg
sendto
setbuf
setcontext
setgid
setgrent
setitimer
_setjmp
setjmp
setkey
setlocale
setlogmask
setpgid
setpriority
setsid
setstate
setuid
setutxent
setvbuf
shmat
shmctl
shmdt
shmget
sigaction
sigaddset
sigdelset
sigemptyset
sigfillset
sighold
siginterrupt
sigismember
siglongjmp
signal
signgam
sigpause
sigpending
sigprocmask
sigrelse
sigsetjmp
sigsuspend
sigtimedwait
sigwait
sigwaitinfo
sin
sinh
sleep
sprintf
sqrt
srand
srand48
srandom
sscanf
stat
statvfs
stdin
stdout
stderr
step
strcasecmp
strcat
strchr
strcmp
strcoll
strcpy
strcspn
strdup
strerror
strftime
strlen
strlook
strncasecmp
strncat
strncmp
strncpy
strpbrk
strptime
strrchr
strspn
strtod
strtol
strtok
strtok_r
strtoul
strxfrm
swab
swapcontext
symlink
sync
sysconf
syslog
system
tan
tanh
tcdrain
tcflow
tcflush
tcgetattr
tcgetpgrp
tcgetsid
tcsendbreak
tcsetattr
tcsetpgrp
tdelete
telldir
tfind
time
times
timezone
tmpfile
tmpnam
toascii
_tolower
tolower
_toupper
toupper
towlower
towupper
truncate
tsearch
ttyname
ttyname_r  
ttyslot
tzname
tzset
ualarm
ulimit
umask
uname
ungetc
unlink
unlockpt
usleep
utime
utimes
valloc
vfprintf
wait
wait3
waitid
waitpid
wcscat
wcschr
wcscmp
wcscoll
wcscpy
wcscspn
wcsftime
wcslen
wcsncat
wcsncmp
wcsncpy
wcspbrk
wcsrchr
wcsspn
wcsstr
wcstod
wcstok
wcstol
wcstombs
wcstoul
wcsxfrm
wordexp
wordfree
write
writev
y0
y1
yn
